id	name
map00552	Teichoic acid biosynthesis
map00571	Lipoarabinomannan (LAM) biosynthesis
map00572	Arabinogalactan biosynthesis - Mycobacterium
map00543	Exopolysaccharide biosynthesis
map00730	Thiamine metabolism
map00740	Riboflavin metabolism
map00750	Vitamin B6 metabolism
map00760	Nicotinate and nicotinamide metabolism
map00770	Pantothenate and CoA biosynthesis
map00780	Biotin metabolism
map00785	Lipoic acid metabolism
map00790	Folate biosynthesis
map00670	One carbon pool by folate
map00830	Retinol metabolism
map00860	Porphyrin metabolism
map00130	Ubiquinone and other terpenoid-quinone biosynthesis
map00900	Terpenoid backbone biosynthesis
map00902	Monoterpenoid biosynthesis
map00909	Sesquiterpenoid and triterpenoid biosynthesis
map00904	Diterpenoid biosynthesis
map00904	Gibberellin biosynthesis
map00906	Carotenoid biosynthesis
map00905	Brassinosteroid biosynthesis
map00981	Insect hormone biosynthesis
map00908	Zeatin biosynthesis
map00903	Limonene and pinene degradation
map00281	Geraniol degradation
map01052	Type I polyketide structures
map00522	Biosynthesis of 12-, 14- and 16-membered macrolides
map00522	Tylosin biosynthesis
map00522	Mycinamicin biosynthesis
map00522	Erythromycin biosynthesis
map00522	Oleandomycin biosynthesis
map00522	Pikromycin/methymycin biosynthesis
map00522	Avermectin biosynthesis
map01051	Biosynthesis of ansamycins
map01059	Biosynthesis of enediyne antibiotics
map01056	Biosynthesis of type II polyketide backbone
map01057	Biosynthesis of type II polyketide products
map00253	Tetracycline biosynthesis
map00523	Polyketide sugar unit biosynthesis
map01054	Nonribosomal peptide structures
map01053	Biosynthesis of siderophore group nonribosomal peptides
map01055	Biosynthesis of vancomycin group antibiotics
map00940	Phenylpropanoid biosynthesis
map00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
map00941	Flavonoid biosynthesis
map00944	Flavone and flavonol biosynthesis
map00942	Anthocyanin biosynthesis
map00943	Isoflavonoid biosynthesis
map00946	Degradation of flavonoids
map00901	Indole alkaloid biosynthesis
map00403	Indole diterpene alkaloid biosynthesis
map00950	Isoquinoline alkaloid biosynthesis
map00960	Tropane, piperidine and pyridine alkaloid biosynthesis
map00996	Biosynthesis of various alkaloids
map00232	Caffeine metabolism
map00965	Betalain biosynthesis
map00966	Glucosinolate biosynthesis
map00402	Benzoxazinoid biosynthesis
map00311	Penicillin and cephalosporin biosynthesis
map00332	Carbapenem biosynthesis
map00261	Monobactam biosynthesis
map00331	Clavulanic acid biosynthesis
map00521	Streptomycin biosynthesis
map00524	Neomycin, kanamycin and gentamicin biosynthesis
map00525	Acarbose and validamycin biosynthesis
map00401	Novobiocin biosynthesis
map00404	Staurosporine biosynthesis
map00405	Phenazine biosynthesis
map00333	Prodigiosin biosynthesis
map00254	Aflatoxin biosynthesis
map00998	Biosynthesis of various antibiotics
map00998	Kanosamine biosynthesis
map00998	Aurachin biosynthesis
map00998	Bacilysin biosynthesis
map00998	Puromycin biosynthesis
map00998	Dapdiamides biosynthesis
map00998	Fosfomycin biosynthesis
map00998	Pentalenolactone biosynthesis
map00998	Terpentecin biosynthesis
map00998	Roseoflavin biosynthesis
map00998	Cycloserine biosynthesis
map00999	Biosynthesis of various plant secondary metabolites
map00999	Crocin biosynthesis
map00999	Cannabidiol biosynthesis
map00999	Podophyllotoxin biosynthesis
map00997	Biosynthesis of various other secondary metabolites
map00997	Ditryptophenaline biosynthesis
map00997	Fumiquinazoline D biosynthesis
map00997	Staphyloferrin B biosynthesis
map00997	Cyclooctatin biosynthesis
map00997	Lovastatin biosynthesis
map00997	Grixazone biosynthesis
map00997	Staphyloferrin A biosynthesis
map00997	Ethynylserine biosynthesis
map00997	Aerobactin biosynthesis
map00362	Benzoate degradation
map00627	Aminobenzoate degradation
map00364	Fluorobenzoate degradation
map00625	Chloroalkane and chloroalkene degradation
map00361	Chlorocyclohexane and chlorobenzene degradation
map00623	Toluene degradation
map00622	Xylene degradation
map00633	Nitrotoluene degradation
map00642	Ethylbenzene degradation
map00643	Styrene degradation
map00791	Atrazine degradation
map00930	Caprolactam degradation
map00363	Bisphenol degradation
map00621	Dioxin degradation
map00626	Naphthalene degradation
map00624	Polycyclic aromatic hydrocarbon degradation
map00365	Furfural degradation
map00984	Steroid degradation
map00980	Metabolism of xenobiotics by cytochrome P450
map00982	Drug metabolism - cytochrome P450
map00983	Drug metabolism - other enzymes
map01010	Overview of biosynthetic pathways
map01060	Biosynthesis of plant secondary metabolites
map01061	Biosynthesis of phenylpropanoids
map01062	Biosynthesis of terpenoids and steroids
map01063	Biosynthesis of alkaloids derived from shikimate pathway
map01064	Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid
map01065	Biosynthesis of alkaloids derived from histidine and purine
map01066	Biosynthesis of alkaloids derived from terpenoid and polyketide
map01070	Biosynthesis of plant hormones
map03020	RNA polymerase
map03022	Basal transcription factors
map03040	Spliceosome
map03010	Ribosome
map00970	Aminoacyl-tRNA biosynthesis
map03013	Nucleocytoplasmic transport
map03015	mRNA surveillance pathway
map03008	Ribosome biogenesis in eukaryotes
map03060	Protein export
map04141	Protein processing in endoplasmic reticulum
map04130	SNARE interactions in vesicular transport
map04120	Ubiquitin mediated proteolysis
map04122	Sulfur relay system
map03050	Proteasome
map03018	RNA degradation
map03030	DNA replication
map03410	Base excision repair
map03420	Nucleotide excision repair
map03430	Mismatch repair
map03440	Homologous recombination
map03450	Non-homologous end-joining
map03460	Fanconi anemia pathway
map03230	Viral genome structure
map03240	Viral replication
map03260	Virion - Human immunodeficiency virus
map03262	Virion - Coronavirus
map03261	Virion - Influenza A virus
map03263	Virion - Enterovirus
map03264	Virion - Flavivirus
map03265	Virion - Lyssavirus
map03266	Virion - Herpesvirus
map03268	Virion - Orthopoxvirus
map03267	Virion - Adenovirus
map02010	ABC transporters
map02060	Phosphotransferase system (PTS)
map03070	Bacterial secretion system
map02020	Two-component system
hsa04010	MAPK signaling pathway
hsa04012	ErbB signaling pathway
hsa04014	Ras signaling pathway
hsa04015	Rap1 signaling pathway
hsa04310	Wnt signaling pathway
hsa04330	Notch signaling pathway
hsa04340	Hedgehog signaling pathway
hsa04350	TGF-beta signaling pathway
hsa04390	Hippo signaling pathway
hsa04392	Hippo signaling pathway - multiple species
hsa04370	VEGF signaling pathway
hsa04371	Apelin signaling pathway
hsa04630	JAK-STAT signaling pathway
hsa04064	NF-kappa B signaling pathway
hsa04668	TNF signaling pathway
hsa04066	HIF-1 signaling pathway
hsa04068	FoxO signaling pathway
hsa04020	Calcium signaling pathway
hsa04070	Phosphatidylinositol signaling system
hsa04072	Phospholipase D signaling pathway
hsa04071	Sphingolipid signaling pathway
hsa04024	cAMP signaling pathway
hsa04022	cGMP-PKG signaling pathway
hsa04151	PI3K-Akt signaling pathway
hsa04152	AMPK signaling pathway
hsa04150	mTOR signaling pathway
hsa04080	Neuroactive ligand-receptor interaction
hsa04060	Cytokine-cytokine receptor interaction
hsa04061	Viral protein interaction with cytokine and cytokine receptor
hsa04512	ECM-receptor interaction
hsa04514	Cell adhesion molecules
hsa04144	Endocytosis
hsa04145	Phagosome
hsa04142	Lysosome
hsa04146	Peroxisome
hsa04140	Autophagy - animal
hsa04137	Mitophagy - animal
hsa04110	Cell cycle
hsa04210	Apoptosis
hsa04215	Apoptosis - multiple species
hsa04216	Ferroptosis
hsa04217	Necroptosis
hsa04115	p53 signaling pathway
hsa04218	Cellular senescence
hsa04510	Focal adhesion
hsa04520	Adherens junction
hsa04530	Tight junction
hsa04540	Gap junction
hsa04550	Signaling pathways regulating pluripotency of stem cells
map02024	Quorum sensing
map05111	Biofilm formation - Vibrio cholerae
map02025	Biofilm formation - Pseudomonas aeruginosa
map02026	Biofilm formation - Escherichia coli
map02030	Bacterial chemotaxis
map02040	Flagellar assembly
hsa04810	Regulation of actin cytoskeleton
hsa04640	Hematopoietic cell lineage
hsa04610	Complement and coagulation cascades
hsa04611	Platelet activation
hsa04613	Neutrophil extracellular trap formation
hsa04620	Toll-like receptor signaling pathway
hsa04621	NOD-like receptor signaling pathway
hsa04622	RIG-I-like receptor signaling pathway
hsa04623	Cytosolic DNA-sensing pathway
hsa04625	C-type lectin receptor signaling pathway
hsa04650	Natural killer cell mediated cytotoxicity
hsa04612	Antigen processing and presentation
hsa04660	T cell receptor signaling pathway
hsa04658	Th1 and Th2 cell differentiation
hsa04659	Th17 cell differentiation
hsa04657	IL-17 signaling pathway
hsa04662	B cell receptor signaling pathway
hsa04664	Fc epsilon RI signaling pathway
hsa04666	Fc gamma R-mediated phagocytosis
hsa04670	Leukocyte transendothelial migration
hsa04672	Intestinal immune network for IgA production
hsa04062	Chemokine signaling pathway
hsa04911	Insulin secretion
hsa04910	Insulin signaling pathway
hsa04922	Glucagon signaling pathway
hsa04923	Regulation of lipolysis in adipocytes
hsa04920	Adipocytokine signaling pathway
hsa03320	PPAR signaling pathway
hsa04929	GnRH secretion
hsa04912	GnRH signaling pathway
hsa04913	Ovarian steroidogenesis
hsa04915	Estrogen signaling pathway
hsa04917	Prolactin signaling pathway
hsa04921	Oxytocin signaling pathway
hsa04926	Relaxin signaling pathway
hsa04935	Growth hormone synthesis, secretion and action
hsa04918	Thyroid hormone synthesis
hsa04919	Thyroid hormone signaling pathway
hsa04928	Parathyroid hormone synthesis, secretion and action
hsa04916	Melanogenesis
hsa04924	Renin secretion
hsa04614	Renin-angiotensin system
hsa04925	Aldosterone synthesis and secretion
hsa04927	Cortisol synthesis and secretion
hsa04260	Cardiac muscle contraction
hsa04261	Adrenergic signaling in cardiomyocytes
hsa04270	Vascular smooth muscle contraction
hsa04970	Salivary secretion
hsa04971	Gastric acid secretion
hsa04972	Pancreatic secretion
hsa04976	Bile secretion
hsa04973	Carbohydrate digestion and absorption
hsa04974	Protein digestion and absorption
hsa04975	Fat digestion and absorption
hsa04979	Cholesterol metabolism
hsa04977	Vitamin digestion and absorption
hsa04978	Mineral absorption
hsa04962	Vasopressin-regulated water reabsorption
hsa04960	Aldosterone-regulated sodium reabsorption
hsa04961	Endocrine and other factor-regulated calcium reabsorption
hsa04964	Proximal tubule bicarbonate reclamation
hsa04966	Collecting duct acid secretion
hsa04724	Glutamatergic synapse
hsa04727	GABAergic synapse
hsa04725	Cholinergic synapse
hsa04728	Dopaminergic synapse
hsa04726	Serotonergic synapse
hsa04720	Long-term potentiation
hsa04730	Long-term depression
hsa04723	Retrograde endocannabinoid signaling
hsa04721	Synaptic vesicle cycle
hsa04722	Neurotrophin signaling pathway
hsa04744	Phototransduction
hsa04740	Olfactory transduction
hsa04742	Taste transduction
hsa04750	Inflammatory mediator regulation of TRP channels
hsa04360	Axon guidance
hsa04380	Osteoclast differentiation
hsa04211	Longevity regulating pathway
hsa04213	Longevity regulating pathway - multiple species
hsa04710	Circadian rhythm
hsa04713	Circadian entrainment
hsa04714	Thermogenesis
hsa05200	Pathways in cancer
hsa05202	Transcriptional misregulation in cancer
hsa05206	MicroRNAs in cancer
hsa05205	Proteoglycans in cancer
hsa05204	Chemical carcinogenesis - DNA adducts
hsa05207	Chemical carcinogenesis - receptor activation
hsa05208	Chemical carcinogenesis - reactive oxygen species
hsa05230	Central carbon metabolism in cancer
hsa05231	Choline metabolism in cancer
hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer
hsa05210	Colorectal cancer
hsa05212	Pancreatic cancer
hsa05225	Hepatocellular carcinoma
hsa05226	Gastric cancer
hsa05214	Glioma
hsa05216	Thyroid cancer
hsa05221	Acute myeloid leukemia
hsa05220	Chronic myeloid leukemia
hsa05217	Basal cell carcinoma
hsa05218	Melanoma
hsa05211	Renal cell carcinoma
hsa05219	Bladder cancer
hsa05215	Prostate cancer
hsa05213	Endometrial cancer
hsa05224	Breast cancer
hsa05222	Small cell lung cancer
hsa05223	Non-small cell lung cancer
hsa05310	Asthma
hsa05322	Systemic lupus erythematosus
hsa05323	Rheumatoid arthritis
hsa05320	Autoimmune thyroid disease
hsa05321	Inflammatory bowel disease
hsa05330	Allograft rejection
hsa05332	Graft-versus-host disease
hsa05340	Primary immunodeficiency
hsa05010	Alzheimer disease
hsa05012	Parkinson disease
hsa05014	Amyotrophic lateral sclerosis
hsa05016	Huntington disease
hsa05017	Spinocerebellar ataxia
hsa05020	Prion disease
hsa05022	Pathways of neurodegeneration - multiple diseases
hsa05030	Cocaine addiction
hsa05031	Amphetamine addiction
hsa05032	Morphine addiction
hsa05033	Nicotine addiction
hsa05034	Alcoholism
hsa05417	Lipid and atherosclerosis
hsa05418	Fluid shear stress and atherosclerosis
hsa05410	Hypertrophic cardiomyopathy
hsa05412	Arrhythmogenic right ventricular cardiomyopathy
hsa05414	Dilated cardiomyopathy
hsa05415	Diabetic cardiomyopathy
hsa05416	Viral myocarditis
hsa04930	Type II diabetes mellitus
hsa04940	Type I diabetes mellitus
hsa04950	Maturity onset diabetes of the young
hsa04936	Alcoholic liver disease
hsa04932	Non-alcoholic fatty liver disease
hsa04931	Insulin resistance
hsa04933	AGE-RAGE signaling pathway in diabetic complications
hsa04934	Cushing syndrome
map01501	beta-Lactam resistance
map01502	Vancomycin resistance
map01503	Cationic antimicrobial peptide (CAMP) resistance
hsa01521	EGFR tyrosine kinase inhibitor resistance
hsa01524	Platinum drug resistance
hsa01523	Antifolate resistance
hsa01522	Endocrine resistance
map07011	Penicillins
map07012	Cephalosporins - parenteral agents
map07013	Cephalosporins - oral agents
map07021	Aminoglycosides
map07019	Tetracyclines
map07020	Macrolides and ketolides
map07014	Quinolones
map07023	Rifamycins
map07026	Antifungal agents
map07044	Antiviral agents
map07053	Anti-HIV agents
map07040	Antineoplastics - alkylating agents
map07041	Antineoplastics - antimetabolic agents
map07042	Antineoplastics - agents from natural products
map07043	Antineoplastics - hormones
map07045	Antineoplastics - protein kinase inhibitors
map07032	Hypnotics
map07030	Anxiolytics
map07033	Anticonvulsants
map07015	Local analgesics
map07039	Opioid analgesics
map07028	Antipsychotics
map07029	Antipsychotics - phenothiazines
map07031	Antipsychotics - butyrophenones
map07027	Antidepressants
map07056	Agents for Alzheimer-type dementia
map07057	Antiparkinsonian agents
map07055	Sulfonamide derivatives - overview
map07016	Sulfonamide derivatives - sulfa drugs
map07017	Sulfonamide derivatives - diuretics
map07018	Sulfonamide derivatives - hypoglycemic agents
map07037	Antiarrhythmic drugs
map07038	Antiulcer drugs
map07046	Immunosuppressive agents
map07047	Osteoporosis drugs
map07048	Antimigraines
map07049	Antithrombosis agents
map07050	Antirheumatics - DMARDs and biological agents
map07051	Antidiabetics
map07052	Antidyslipidemic agents
map07054	Antiglaucoma agents
map07220	Cholinergic and anticholinergic drugs
map07215	alpha-Adrenergic receptor agonists/antagonists
map07214	beta-Adrenergic receptor agonists/antagonists
map07213	Dopamine receptor agonists/antagonists
map07212	Histamine H1 receptor antagonists
map07227	Histamine H2/H3 receptor agonists/antagonists
map07211	Serotonin receptor agonists/antagonists
map07228	Eicosanoid receptor agonists/antagonists
map07224	Opioid receptor agonists/antagonists
map07229	Angiotensin receptor and endothelin receptor antagonists
map07225	Glucocorticoid and mineralocorticoid receptor agonists/antagonists
map07226	Progesterone, androgen and estrogen receptor agonists/antagonists
map07223	Retinoic acid receptor (RAR) and retinoid X receptor (RXR) agonists/antagonists
map07222	Peroxisome proliferator-activated receptor (PPAR) agonists
map07221	Nicotinic cholinergic receptor antagonists
map07230	GABA-A receptor agonists/antagonists
map07036	Calcium channel blocking drugs
map07231	Sodium channel blocking drugs
map07232	Potassium channel blocking and opening drugs
map07235	N-Methyl-D-aspartic acid (NMDA) receptor antagonists
map07233	Ion transporter inhibitors
map07234	Neurotransmitter transporter inhibitors
map07216	Catecholamine transferase inhibitors
map07219	Cyclooxygenase inhibitors
map07024	HMG-CoA reductase inhibitors
map07217	Renin-angiotensin system inhibitors
map07218	HIV protease inhibitors
map07025	Quinolines
map07034	Eicosanoids
map07035	Prostaglandins
map07110	Benzoic acid family
map07112	1,2-Diphenyl substitution family
map07114	Naphthalene family
map07117	Benzodiazepine family
